incoming_id,true_verdict,true_matched_record_id,true_matched_master_id,error_type,explanation
INC-015,NEEDS_REVIEW,SYS-075,SYS-075,WRONG_LEVEL,"Incoming is MA RMV headquarters (136 Blackstone St, no floor). Process returned Site SYS-076 (RMV Haymarket, Floor 2) — wrong hierarchy level. Correct match is Master SYS-075. Agent should flag: matched record is a Site when incoming maps to the Master."
INC-016,MATCH,SYS-079,SYS-078,CORRECT,Process correctly matched City of Boston Public Works site. Same entity at same address and room. Valid match.
INC-017,NO_MATCH,SYS-039,SYS-038,FALSE_POSITIVE,"Quest Diagnostics operates a lab INSIDE Brigham and Women's Hospital — sub-tenant, not the same entity as BWH. Process matched on shared address. Correct record is SYS-039 (Quest Diagnostics BWH In-House Lab) under SYS-038 (Quest Boston Region master). Classic co-location trap."
INC-018,NO_MATCH,SYS-042,SYS-041,FALSE_POSITIVE,"Sodexo operates food services INSIDE MGH — sub-tenant vendor, not the same entity as MGH. Process matched on shared address. Correct record is SYS-042 (Sodexo MGH Food Services) under SYS-041 (Sodexo Boston Healthcare master). Co-location trap."
INC-019,NO_MATCH,SYS-034,SYS-033,WRONG_MASTER,"Process found correct site (NYP Weill Cornell, SYS-034) but assigned wrong master (Northwell Health, SYS-001). NewYork-Presbyterian has no relationship to Northwell. Correct master is SYS-033 (NewYork-Presbyterian parent). Wrong master makes this invalid."
INC-020,MATCH,SYS-071,SYS-067,CORRECT,"Process correctly matched Quill Boston Fulfillment site. Staples owns Quill so rollup to Staples master is a valid real-world relationship. Same entity, same address, valid master. Valid match."
INC-021,GREYSPACE,SYS-010,SYS-001,WRONG_LOCATION,Incoming is Northwell Syosset Hospital. Process returned Northwell Forest Hills (SYS-014) — different location. Both roll up to Northwell Health parent (SYS-001). Incoming legitimately belongs to same parent — true greyspace. Correct record SYS-010 exists in system.
INC-022,GREYSPACE,SYS-047,SYS-045,WRONG_LOCATION,Incoming is ABM Prudential Center (800 Boylston St). Process returned ABM Boston Region master (Harborside). Correct site SYS-047 (ABM Prudential Center) exists under same master SYS-045. Incoming legitimately rolls up to ABM Boston Region — true greyspace.
INC-023,GREYSPACE,SYS-012,SYS-001,WRONG_LOCATION,Incoming is Northwell Glen Cove Hospital. Process returned Northwell Lenox Hill (SYS-002) — different location. Both roll up to Northwell Health parent (SYS-001). Incoming legitimately belongs to same parent — true greyspace. Correct record SYS-012 exists in system.
INC-024,MATCH,SYS-080,SYS-080,CORRECT,Process correctly matched Boston Public Schools. Address and entity align precisely. Incoming label Dept of Education is colloquial for BPS admin. Valid match.
INC-025,NEEDS_REVIEW,SYS-052,SYS-051,WRONG_LEVEL,Incoming is Aramark Boston Convention Center. Correct site SYS-052 exists at same address. Process returned the master SYS-051 instead of the site — wrong hierarchy level. Master relationship is valid. Agent should flag: process returned a level up from the correct record.
INC-026,MATCH,SYS-082,SYS-082,CORRECT,Process correctly matched Cambridge Public Schools District Admin master. All-caps formatting is an acceptable formatting variation — same entity same address. Valid match.
INC-027,MATCH,SYS-028,SYS-028,CORRECT,Process correctly matched Tufts Medical Center master. Missing comma separators is an acceptable formatting variation — same entity same address. Valid match.
INC-028,MATCH,SYS-009,SYS-008,CORRECT,"Process matched Plainview Surgical Center site under correct master. ZIP difference (11804 vs 11803) is a 1-digit transposition at the same street address — not a genuinely different location. Valid match."
INC-029,MATCH,SYS-092,SYS-091,CORRECT,Process matched BPL Copley Square Branch under correct master. Lower Level addition is a floor variation at the same building — not a different location. Valid match.
INC-030,NO_MATCH,,,CORRECT,Hartford Hospital is not in the internal system. Process correctly returned NO_MATCH. True whitespace — no record exists to match against. Agent should confirm the NO_MATCH.
